Entry,Entry name,geneid,genename
Q91XS1,MTMR4_MOUSE,170749;,Mtmr4
Q80TA6,MTMRC_MOUSE,268783;,Mtmr12
O88441,MTX2_MOUSE,53375;,Mtx2
Q61006,MUSK_MOUSE,18198;,Musk
Q9JMH9,MY18A_MOUSE,360013;,Myo18a
P48972,MYBB_MOUSE,17865;,Mybl2
P06876,MYB_MOUSE,17863;,Myb
P10166,MYCL_MOUSE,16918;,Mycl
Q9Z304,MYCS_MOUSE,17870;,Mycs
Q8R411,MYCT1_MOUSE,68632;,Myct1
Q3UHK1,MYCT_MOUSE,239606;,Slc2a13
Q8VDD5,MYH9_MOUSE,17886;,Myh9
Q9CQ19,MYL9_MOUSE,98932;,Myl9
